7F05DF86	62CB0DF1	1989 1995	
80D58ED8	7E51C22E	2008 2015	
80D58ED8	7E8CD40C	2008 2010	
80D58ED8	83ED96BF	2002 2014	2004 2014	2008 2014	
80D58ED8	7CB9C8C0	2014 2015	2011 2015	2013 2015	
7D21444D	68ACB17E	1993 2007	
7D21444D	5EE7D291	1993 2007	
2A39C75B	7F65F16B	2009 2013	
2A39C75B	8095CAA5	2008 2009	2008 2010	
2A39C75B	755000AC	2008 2010	2008 2010	
2A39C75B	7E7A7A49	2009 2015	
2A39C75B	848AFABB	2010 2014	
2A39C75B	76E00E29	2008 2010	
2A39C75B	7B80047D	2009 2015	
2A39C75B	449A2769	2010 2014	
0360166C	7F8FA5E4	1999 2014	
0360166C	7D68A3E5	1999 2004	
0360166C	0705805F	1999 2008	
0360166C	7FB6FE9D	2008 2013	2008 2009	2008 2008	
0360166C	84D37683	2012 2013	
0360166C	7997DF6E	2006 2007	2010 2011	
0360166C	7950629D	1999 2006	
0360166C	805BC96F	2006 2008	
0360166C	7C51BD23	2012 2013	
7DAA622E	80FFE0DD	2009 2011	
7DAA622E	00D940B5	2009 2012	2009 2013	2009 2012	
7DAA622E	76475CCE	2009 2012	2009 2013	2009 2012	
7DAA622E	7EF6106A	2009 2011	
7DAA622E	060F4776	2009 2011	
7DAA622E	08404F18	2009 2012	2009 2013	2009 2012	
7DAA622E	803119D5	2009 2013	
7DAA622E	8521C3EB	2009 2011	
7DAA622E	80463BC3	2009 2012	2009 2012	
7DAA622E	7DE936D3	2009 2012	2009 2012	
7DAA622E	7F775125	2009 2011	
7DAA622E	8627A92B	2009 2011	
7DAA622E	7D9D3B77	2009 2012	2009 2013	2009 2012	
83F68555	8101F887	2004 2009	
83F68555	7DC5C6BB	2004 2009	
83F68555	7F3CC3B0	2004 2008	
83F68555	80D58ED8	2004 2008	
83F68555	80422169	2004 2008	
83F68555	7891139D	2004 2009	
275DF53A	2AE7B5AF	2005 2005	
275DF53A	7AA7C506	2005 2005	
275DF53A	2978E5F9	2005 2005	
275DF53A	7E39073B	2005 2005	
275DF53A	7514CDBC	2005 2005	2005 2005	
275DF53A	80D58ED8	2005 2005	
805FD211	7EB7D56F	2009 2014	
805FD211	862F6C69	1991 1993	
805FD211	7C63FD63	2009 2014	
805FD211	1EB3CBA4	1991 2001	
805FD211	784ED974	1991 1992	1991 1992	1991 1991	
805FD211	12BAC6B5	1991 2001	
8175F519	7EBA14E6	1999 2007	
8175F519	807B01CE	1999 2007	
8129B034	84EA5411	2010 2016	
8129B034	7D82CA42	2010 2011	
8129B034	809368CA	2010 2010	
8129B034	7FCB5BB6	2010 2011	
8129B034	0296DF21	2010 2010	
8129B034	7D4AA4F2	2010 2016	
8129B034	807BFA32	2010 2010	
8129B034	811B8F8F	2010 2011	
8129B034	77A5E777	2010 2012	
83957B28	7B6E457A	2012 2013	
83957B28	95BB958E	2008 2015	
83957B28	08404F18	2012 2013	
83957B28	805DC53E	2008 2011	
83957B28	7C857356	2010 2014	2010 2014	
83957B28	757E13D7	2010 2014	
83957B28	1637892C	2008 2011	
83957B28	7E3BB59C	2012 2015	2012 2012	
83957B28	81290874	2008 2011	
83957B28	2B9D8E01	2012 2013	
83957B28	E4117AC5	2008 2015	
83957B28	848B2C93	2012 2015	
0F1921DC	84D872F2	1989 1990	
0F1921DC	2B6BFF92	1989 1990	
0F1921DC	100D44C3	1989 1990	
0F1921DC	7F476D25	1989 1990	
847DAEC5	0B9370B1	2013 2014	
847DAEC5	7F1364D2	2013 2014	
80535E7D	8546DE48	2015 2016	
80535E7D	0D02BCA6	2015 2016	
80535E7D	7EDDAE96	2012 2014	
80535E7D	7E3BB59C	2012 2014	
80535E7D	AEF71F2C	2015 2016	
80535E7D	72FE52A4	2015 2016	
80535E7D	2BBACD26	2015 2016	
80535E7D	7EBF2A9D	2015 2016	
80535E7D	84B76F4B	2012 2014	
80535E7D	84EA0EBF	2012 2014	
80535E7D	7AD1AD87	2012 2014	
80535E7D	80814C18	2012 2014	
76482346	7E7E6FF2	2007 2014	
76482346	7E906D50	2002 2004	
76482346	818751F3	2009 2012	
76482346	85113D18	2007 2014	
76482346	7C4669BC	2002 2004	
76482346	7FF01745	2007 2008	
76482346	771E2668	2007 2008	
76482346	5766B47A	2009 2011	
76482346	805235FE	2009 2012	
76482346	51D985F7	2007 2008	
76482346	7A838B21	2007 2008	
76482346	6EFF9DD8	2012 2013	
76482346	84D1F6F2	2007 2014	
76482346	7889BF46	2007 2014	
7ACE5E6B	7ACE5E6B	2016 2016	
7ACE5E6B	797D81C6	2016 2016	
7ACE5E6B	752F731A	2016 2016	
7ACE5E6B	13FCB45D	2016 2016	
7ACE5E6B	81535721	2016 2016	
78A6050B	78268815	1993 2002	1993 2001	
78A6050B	824FAFD0	1993 2004	
78A6050B	7896FC99	1993 2004	
78A6050B	05729C1A	1993 2004	
78A6050B	850848C5	1993 2002	
78A6050B	7F6A6897	1993 2002	
803E96A1	7BC90887	2010 2013	
803E96A1	7ED689DC	2010 2013	
80C0034C	2B9D8E01	1999 2004	
80C0034C	799EFB29	1999 2001	
80C0034C	7D528174	1998 2000	
80C0034C	7C48C7D0	1998 2003	
80C0034C	7FB42F64	1998 2003	
80C0034C	83A30DAE	1998 2003	
80C0034C	2FD6E858	1999 2012	
80C0034C	7CCEBFE2	1999 2004	1999 2012	
80C0034C	805E3DBB	1998 2000	1998 2000	
80C0034C	7C857356	1999 2005	
77221471	7EBA7477	2006 2008	
77221471	79279A52	2012 2013	
77221471	84E36323	2004 2012	
77221471	290D4D56	2011 2015	
77221471	81646FCA	2008 2015	
77221471	7D58C4D3	2008 2011	
77221471	7CFCBF30	2008 2009	2008 2010	2008 2013	
77221471	7997DF6E	2008 2013	
77221471	813A6EAD	2013 2015	2008 2015	2012 2015	
77221471	7D3A963F	2013 2014	2013 2014	2008 2014	2012 2014	2012 2014	
77221471	8095129C	2010 2014	2012 2014	2012 2014	
7F3D4D23	80140E6D	2012 2014	
7F3D4D23	7E5E30B4	2012 2014	
7F3D4D23	757EF381	2012 2014	
7F3D4D23	7F98E585	2012 2014	
7F3D4D23	7B077B4F	2012 2014	
7F3D4D23	7D7EAEDA	2012 2014	
7AF0CE25	80327A4C	2013 2014	2013 2014	
7AF0CE25	7FAB7F4E	2013 2015	
7AF0CE25	74DDE450	2013 2015	
7AF0CE25	8070463C	2013 2014	2013 2014	
7AF0CE25	7D8A194F	2013 2015	
7AF0CE25	769FFE0B	2013 2015	
7AF0CE25	7FAAA97F	2013 2014	
7AF0CE25	7997DF6E	2013 2014	2013 2014	
7AF0CE25	7D343B36	2013 2014	
7AF0CE25	75306C2B	2013 2015	
7AF0CE25	84C75CDF	2013 2015	
7AF0CE25	7EF9A66F	2013 2015	
85D38494	80463BC3	2009 2012	
85D38494	8521C3EB	2009 2011	
85D38494	7F775125	2009 2011	
85D38494	7D9D3B77	2009 2012	
85D38494	848E2FA3	2009 2012	
85D38494	80E5C87A	2009 2012	2009 2010	
85D38494	08404F18	2009 2012	
85D38494	2B9D8E01	2009 2012	
85D38494	76475CCE	2009 2012	
85D38494	7DE936D3	2009 2012	
85D38494	060F4776	2009 2011	
18CD4174	84BD78A8	1990 2015	
18CD4174	84F3B142	1990 2015	
18CD4174	85065EAC	1990 2015	
18CD4174	7D48C2A3	1997 2003	
18CD4174	7F1C81F2	1990 2015	
18CD4174	8427C8EA	1990 2015	
18CD4174	8041ED3F	1990 2015	
5A6A5A77	0072B820	2015 2015	
5A6A5A77	7F60F4B1	2015 2015	
5A6A5A77	79DD2801	2015 2015	
7ED13AAC	84EA0490	2010 2011	
7ED13AAC	8094EFC6	2010 2011	
7ED13AAC	8029541D	2010 2011	
7ED13AAC	7CFE9336	2010 2011	
7ED13AAC	07D43A23	2010 2011	
84A8E057	800FD3FD	2013 2014	
84A8E057	847C07A5	2013 2014	
84A8E057	757EF381	2013 2014	
84A8E057	83322EC5	2013 2014	
84A8E057	7E5E30B4	2013 2014	
84A8E057	7FDC3EFE	2013 2014	
84A8E057	806401CC	2013 2014	
84A8E057	856DE597	2013 2014	
84A8E057	8008E226	2013 2014	
84A8E057	80140E6D	2013 2014	
84A8E057	810D1D8D	2013 2014	
84A8E057	0B9370B1	2013 2014	2013 2014	
84A8E057	7D7EAEDA	2013 2014	
84A8E057	80E3D08F	2013 2014	2013 2014	
7F413E70	862AB760	2004 2004	
7F413E70	79F4CFA7	2004 2006	
7F413E70	84835476	2004 2006	
7F413E70	7E2605EE	2009 2004	
7F413E70	7EBD27F7	2004 2004	2004 2009	
7F413E70	84EA5411	2004 2004	2004 2009	
7F413E70	7E2A3F94	2004 2006	
7F413E70	0D54077C	2009 2004	
7F413E70	825D252E	2009 2004	
7F413E70	85820BD0	2009 2004	
7F413E70	7F413E70	2004 2004	2004 2009	2009 2004	
7F413E70	7CC884BB	2009 2014	
7F413E70	850C6A99	2009 2014	
788368E8	7EE90A1E	2006 2006	
788368E8	7D6EF172	2006 2006	
788368E8	00862132	2006 2007	
788368E8	788368E8	2006 2006	
78652419	7FEB8AC0	2004 2004	
78652419	7E6F10AF	2004 2012	
78652419	7FCB5BB6	2004 2010	
78652419	05CA48EB	2004 2005	
78652419	7896FC99	2004 2012	
78652419	7A678DFD	2004 2005	
78652419	84F130B4	2004 2005	
78652419	1476D145	2004 2004	
78652419	7ED0E74E	2004 2012	
78652419	7DA26F8D	2004 2010	
852CAB71	80906149	2013 2014	
852CAB71	812A3DB6	2013 2014	
852CAB71	8460D6F8	2013 2014	
85532093	7DEBB0CB	2003 2004	
85532093	7B0A42B7	2003 2006	
85532093	77221471	2003 2006	2003 2006	
85532093	7C3FD403	2003 2004	
85532093	0DB5DC57	2003 2004	
85532093	71D929A5	2003 2004	
70588ECB	10053A0B	2013 2014	
70588ECB	803119D5	2011 2013	
70588ECB	76313A5B	2013 2014	
70588ECB	7A108FB2	2010 2011	
70588ECB	70588ECB	2011 2013	2012 2012	
70588ECB	84941F89	2011 2015	
70588ECB	7D7420ED	2013 2014	
70588ECB	7EC17D8F	2010 2014	2013 2014	2013 2014	
70588ECB	0B90C1E8	2013 2014	
70588ECB	053689FB	2010 2015	
70588ECB	7CE98FA3	2013 2014	
7A07BE0C	8072E956	2003 2007	
7A07BE0C	769B992A	2003 2013	
