7A2A3AFA	7819DAB5	1999 2004	2004 2005	
7A2A3AFA	80B64BFD	1999 2004	2004 2005	
7D8E0929	7BDD6246	1998 1999	
7F5AD202	7A118BAC	2014 2015	
7F5AD202	8045F9A5	2014 2015	
75E86FAA	5989BB82	1986 1990	
75E86FAA	7F8111A5	1986 1990	
75E86FAA	778FE61E	1986 1990	
85E235B6	81F4A4C3	1991 1993	
85E235B6	7923B504	1991 1993	
85E235B6	7CDDC120	1991 1993	
85E235B6	062A0022	1991 1993	1991 1994	
84B78185	7EDF1D46	2010 2011	
84B78185	8250D6CC	2010 2011	2010 2011	
84B78185	7886B099	2010 2011	
7E8C6A66	7E14EDEC	2014 2015	
7E8C6A66	7E9631C5	2014 2015	
7E8C6A66	817E60B1	2014 2015	
7E1E31A7	105001E0	2000 2002	
7E1E31A7	7FBAE9EC	2000 2002	
7E6CE654	7D472945	1986 1987	
7E6CE654	824BEDFC	1986 1990	
7BC9F10B	7E228004	1986 1990	
77CC44B6	7A17FEF4	2007 2010	
77CC44B6	84CC3674	2006 2013	
77CC44B6	7DA2298F	2006 2011	
77CC44B6	7E9961C5	2012 2015	
77CC44B6	7E3C12DC	2014 2014	
77CC44B6	77CC44B6	2011 2014	2007 2008	2007 2010	2006 2011	
773CADC1	0EB6F376	2012 2015	
0FF8407C	7C5C2FF0	2007 2008	
0FF8407C	7A6CBBE7	2002 2008	
0FF8407C	7E8B3B8A	2007 2012	
0FF8407C	8033395C	2002 2008	
0FF8407C	815E43A4	2002 2006	
0FF8407C	85AFB140	2006 2010	
753F27AD	74BBD748	2006 2005	
753F27AD	0490235C	2006 2005	
753F27AD	17CDE1AF	2006 2005	
7554E140	7A118BAC	1991 1996	
8624EA5A	753FC2EA	2010 2012	
8624EA5A	028A3707	2010 2012	
8624EA5A	17C35424	2010 2012	
8624EA5A	7EBB8D56	2010 2012	
6788B94D	79271447	1982 1984	
6788B94D	2ACFE21B	1982 1984	
4EB01E98	5F84A355	2011 2012	
4EB01E98	7B874E6A	2011 2012	
7C83CAE2	7DD8DF57	2012 2011	
7C83CAE2	7DB54482	2012 2011	
7C83CAE2	80549104	2012 2011	
8339245D	8014EB32	1989 1989	
8339245D	7293FC10	1989 1989	
8339245D	77600A82	1989 1989	
8148D5A7	809686C6	2000 2008	
8148D5A7	8081AF99	2000 2005	
8148D5A7	7D2CD139	2000 2011	
8148D5A7	7D481938	2000 2002	
8148D5A7	78781F39	2000 2002	
7B37A147	1215CE1D	1998 2002	
7B37A147	75EE195B	1998 2002	
5F43C618	78B68E31	1987 2015	
7D6606C1	78009075	2013 2014	
7D6606C1	7DA775AE	2013 2014	
7D6606C1	825C2028	2013 2014	
7D6606C1	0ED20AAE	2013 2014	
7D6606C1	75309207	2013 2014	
7D6606C1	7EB8CA65	2013 2014	
7FE366CF	85D411FC	2014 2015	
8098E2A6	80771248	2012 2014	2012 2015	
8098E2A6	84C8AD82	2012 2015	
7A8DC835	812B1DA5	2003 2005	
7EDB7B49	7D1D6938	2013 2014	
7EDB7B49	81795C59	2013 2014	
7EDB7B49	806DCF8E	2013 2015	
7EDB7B49	81213BF6	2013 2015	
808AF613	80390097	1997 1998	
7F1441EE	12AFCB34	1998 1999	
7F1441EE	8033895F	1998 2004	
7F1441EE	80E6F091	1998 2004	
7F1441EE	8538C8B7	1998 2004	
80F60966	7D18A514	2013 2014	
80F60966	80936524	2013 2014	
80F60966	7CF354A4	2013 2014	
80F60966	80417568	2013 2014	
80F60966	80CF73F9	2013 2014	
7EACDC1C	7EACDC1C	2014 2014	
7EACDC1C	727098EA	2014 2014	
7E5479EF	63ACCC72	2014 2014	
7E5479EF	76C9C51F	2014 2015	2014 2014	
7E5479EF	7C0A79F8	2014 2015	2014 2014	
7639A9F5	83570430	2005 2011	
7639A9F5	7D095A21	2005 2011	
7639A9F5	7D2CD139	2005 2011	
7639A9F5	7F76644D	2005 2011	
7DC8405C	7DC8405C	2014 2014	
7DC8405C	802A6DDF	2014 2014	
7DC8405C	7DAABBEA	2014 2014	
22718342	7EF484E4	2000 2006	
22718342	7EDC3DBE	2000 2002	
22718342	80F62F7C	2000 2002	
22718342	80D0974D	2000 2006	
22718342	77D60AB1	2000 2004	
22718342	7F74635A	2000 2004	
22718342	7A6F6CB7	2000 2004	
803424C2	750A7B60	2008 2010	
803424C2	803424C2	2008 2010	
7AE44B1B	7AE44B1B	2006 2007	
801B41A2	808985CF	1996 1996	
7D86CEE0	7EEDD490	2008 2010	
7D86CEE0	7D3CC8F6	2008 2010	
6C2BA29F	7F6B3808	1998 2015	
79006680	7E2168B1	2011 2014	
79006680	7B3378D4	2011 2014	
79006680	77D8AE86	2011 2012	
7D8FDF52	7EC97366	2006 2008	2006 2007	2007 2008	
7D8FDF52	82E7B48D	2000 2002	
7D8FDF52	7A3566FD	2000 2002	
7750F23B	80AD585A	2005 2008	
7750F23B	5F0C4620	2005 2008	
7750F23B	7750F23B	2005 2008	2005 2006	
7750F23B	80EE5132	2005 2008	
7750F23B	1CC4276F	2005 2008	2005 2006	
7FC4A0BF	7E6AF0A6	2013 2014	
7D9201B7	77CC9B8D	1993 1996	
7D9201B7	216E60E4	1993 1993	
84AC53FB	76B1372E	1993 1996	
84AC53FB	86205434	1993 1994	
84AC53FB	0D44D0BC	1993 1996	
84AC53FB	7532EDCA	1993 1994	1993 1996	
84AC53FB	7FD5BF6A	1993 1996	
84AC53FB	7AFAA64C	1993 1994	
8133FD9E	7E21FE16	2010 2013	
8133FD9E	7DBA0641	2010 2015	
8133FD9E	07336ABC	2010 2014	
8133FD9E	64AEBE71	2010 2015	
8133FD9E	0B9267A4	2010 2011	
7EA65F22	7B9C63AC	1999 2002	
7DBFACE1	85BF404B	2005 2007	
7DBFACE1	72EE9A3C	2005 2007	
7DBFACE1	80B624C3	2005 2007	
7F9D4C75	80EC7C37	2002 2006	
7F9D4C75	859340AB	2002 2004	
83614F79	7F7D618F	1983 1990	
83614F79	8622C454	1983 1987	
0A2B7765	7E39ACF9	2010 2012	
0A2B7765	0A2B7765	2010 2012	
7EA0D605	810B4A93	2013 2014	
7EA0D605	7D722BDC	2013 2014	
7EA0D605	8030173A	2013 2014	
75395265	81D1D5E7	2008 2010	
75395265	7AC7C77D	2008 2010	
4B8A4A89	8213BE2F	1999 2015	
19ED5320	19ED5320	1999 1999	
19ED5320	8195CE00	2013 2015	
19ED5320	04A146A5	1999 1999	
19ED5320	1AE43640	2013 2015	
8085BC95	75458759	1993 2006	
8085BC95	7DC2D174	1993 2006	
71DAADA3	7FE9AE96	2012 2012	
71DAADA3	7CC4AD31	2012 2012	
7BA407FD	7EEB6DE1	2011 2011	
7BA407FD	7BA407FD	2011 2011	
7BA407FD	813C06D9	2011 2011	
774958B5	7FA3AA96	1996 1998	
774958B5	78751011	1996 2000	
774958B5	7D481938	1996 2002	
774958B5	7487B876	1996 2000	1996 1998	
002C2840	7D61629E	2004 2006	
002C2840	6FA63B64	2004 2006	2004 2008	
83E2718C	7AAA0F34	1997 1997	
83E2718C	109350DF	1997 1997	
83E2718C	7E353776	1997 1997	
83E2718C	7EFE0440	1997 1997	
8035DFE6	7A118BAC	2010 2012	
8035DFE6	7B64ED4D	1992 1994	
8035DFE6	7DB2083B	1998 2011	
7E265827	7F55EB85	2004 2007	
7E265827	813676CE	2004 2007	
16947096	7F53D8BE	1998 1998	
16947096	33BB10FA	1998 1998	
77AFCF9A	79BC884F	2010 2011	2010 2014	2010 2014	
77AFCF9A	810B9059	2010 2013	
80DA4E7E	80BEA1F5	1980 1986	
80DA4E7E	7DF5EE6D	1980 1991	
80DA4E7E	443CFC5C	1980 1984	
80DA4E7E	832CE78D	1982 2012	
7BC784B9	7F1E795C	1980 1991	
7F225D5C	7DAFC5AB	2007 2008	
7D3BB506	84EC8C4D	1997 2000	
7D3BB506	76B8195D	1997 2000	1997 2001	
2720867D	8058D7B3	2008 2015	
2720867D	7E27819A	2008 2015	
2720867D	4A574861	2008 2015	
7D4E2C6D	77B08530	2007 2012	
7D4E2C6D	7F51146C	2007 2012	
81835C70	8529D073	1982 1983	
81835C70	2A541283	1982 1990	
29045CE5	80B624C3	2000 2012	
29045CE5	8021A6BD	2000 2002	1999 2002	
29045CE5	5CBEA617	2000 2005	
29045CE5	8092DB71	2000 2004	
2AB83412	009E62EC	1993 1993	
76F4EB5C	7F37859E	2008 2010	
76F4EB5C	7EE5D112	2010 2011	
76F4EB5C	7E811E4A	2008 2015	
76F4EB5C	7FFE9B9A	2008 2015	
802A1C48	7FC8F515	2004 2005	
7F718E62	11FE5F6B	2014 2014	
7F718E62	7F718E62	2014 2014	2014 2014	
7F718E62	12048D80	2014 2014	2014 2014	
7F718E62	04841212	2014 2014	
7E308142	7B3378D4	2007 2008	
7E308142	803506FA	2007 2008	
7E308142	251C0B93	2007 2007	
7E308142	854470C4	2007 2007	
75904DF8	2A3F93E7	2011 2015	
75904DF8	7FD2187C	2011 2015	
75904DF8	3189C057	2011 2012	
75904DF8	7E1DD9EA	2011 2012	
75904DF8	7DB79FC8	2011 2015	
78B33EDE	311655DC	2004 2011	
78B33EDE	7C724F75	2004 2011	
78B33EDE	7DF1A1C9	2004 2011	
7F0FE2D2	8315FA91	1996 2004	
7E72B6FC	7FAAE115	1999 2014	
7E72B6FC	7CE81E80	1999 2014	
7F48DD51	8074CAED	2010 2011	
7F48DD51	7CB31A76	2010 2012	
7F48DD51	7D0E43B9	2010 2011	
80EC7C37	2A3F93E7	2005 2007	
80EC7C37	859340AB	2005 2004	
80EC7C37	1C3489FC	2005 2004	
80EC7C37	80C44C8B	2005 2007	
80EC7C37	7D348B54	2005 2007	
80EC7C37	7F74635A	2005 2007	
0EC28728	10A00ACB	1998 2005	
0EC28728	129794E3	1998 2004	
5C0BF2A0	786CB141	1996 1998	
5C0BF2A0	7B3A24F8	1996 1998	
5C0BF2A0	80EDF8CB	1996 1998	1996 1998	
8020AF70	77771099	2006 2007	
8020AF70	764FCAE4	2010 2010	
7EAF246D	85E7832B	1998 2004	
7EAF246D	216E60E4	1998 1998	
7EAF246D	856DCFB3	1993 1993	
7A0A764C	50BA9834	1992 1994	
7A0A764C	047779B7	1992 1994	
27FEA781	1AE43640	2007 2008	
7D11D50A	640D84E6	1988 1996	
7D11D50A	29E905AA	1988 1996	
7D11D50A	7D859FE8	1988 2002	
74C69EE5	7F0A1EE7	2005 2011	
826C796D	7A8808CB	2008 2014	
7EFEC632	78200A39	2001 2001	
7EFEC632	7DA9E514	2001 2001	
7EFEC632	0FB0613C	2001 2001	
86394692	82A87738	1988 1990	
788D5435	0432FBB0	2005 2008	
788D5435	7F265FD4	2005 2008	
7FCA9B9C	7E717172	2011 2013	
8119D371	7E4E1011	2013 2015	
8119D371	8068E31C	2013 2014	
761E97A3	7640E6A8	2007 2010	
761E97A3	72A1215D	2007 2010	
846084D8	7F74F088	1993 2002	
846084D8	7E7F4D4D	1993 2003	
846084D8	7DE6F06E	2000 2006	
846084D8	7D9ABDA4	2000 2007	
846084D8	7F3398B8	1993 2012	
846084D8	1357C5F0	1993 2004	1993 2000	
846084D8	8092DB71	1993 2004	
7FA4F1B0	7FBE72C5	1994 1994	
7FA4F1B0	7DF5EE6D	1994 1994	
7FA4F1B0	76C2903E	1994 1997	1994 2000	
7FA4F1B0	7FA4F1B0	1994 1994	
01738385	7E5CF9D2	1984 1988	
01738385	01738385	1993 1994	1986 1987	1984 1987	1984 1986	
01738385	7D42B771	1993 1994	
01738385	035BC2A8	1993 1994	
01738385	17DD376D	1986 1987	
8106D1DB	7EFDA6AD	2013 2014	
8106D1DB	78D386B6	2013 2014	
8106D1DB	80FC292E	2013 2014	
8106D1DB	855815E4	2013 2014	
8106D1DB	7D0876B2	2013 2014	
72AC5C1E	13950312	2005 2006	
7DD19B27	170CC1DE	2010 2015	
7DD19B27	258F6408	2010 2015	
0158E5F0	737BF5D2	1997 2012	2008 2012	
0158E5F0	7CFE92E2	1996 2011	2004 2011	2012 2011	
80A16DB6	7A2F8E2D	2012 2014	
80A16DB6	7D1BB0A7	2012 2014	
80A16DB6	7F6D864C	2012 2013	
80A16DB6	7F3F6D6D	2012 2013	
80024991	0E2BB460	2006 2009	
80024991	863EED4C	2006 2007	
7E2951F5	82C05202	2006 2006	
7E2951F5	809EB9CA	2006 2006	
7E2951F5	04C3D628	2006 2006	
76851904	8226D279	2006 2008	
76851904	81692466	2006 2013	
76851904	75245BF1	2006 2008	
76851904	814A17C6	2006 2014	
78E135DE	7F4EF0D2	2002 2004	
78E135DE	0A78292C	2002 2004	
78E135DE	7DCE21F1	2004 2015	
78E135DE	7FBBF220	2004 2015	2004 2006	
78E135DE	7D93FF6F	2002 2004	
78E135DE	0C826F1A	2002 2004	
7EEDF20C	821D3D2C	2012 2014	2012 2014	2013 2014	
7EEDF20C	7990987F	2010 2014	
7EEDF20C	7FC917B7	2012 2013	
85980A8A	7D9454BC	2008 2014	2008 2014	2008 2013	
85980A8A	7A41950C	2008 2011	
85980A8A	1215CE1D	2010 2013	
183AF8EA	7BF9F2C6	1994 1998	
183AF8EA	0D19F9F4	1994 1999	
183AF8EA	812FF69E	1994 1998	
183AF8EA	12AFCB34	1994 1999	
83213D33	790FF345	2001 2007	
83213D33	80DB9D0D	2001 2008	
7F05887C	32A847D4	2007 2008	
7F05887C	82308254	2007 2010	
7F05887C	7E5EA054	2007 2010	
7F05887C	7DAAC645	2007 2012	
7F05887C	7F05887C	2007 2008	
7D6656DB	80BDBDD0	1998 2006	
7D6656DB	7C0825B9	1998 2006	
7D6656DB	80F80A68	1998 2006	
80B64C45	771BADC7	1988 1995	
8326C767	79C926C9	2006 2008	
8326C767	84D053AA	2006 2007	
8326C767	7D72A6E4	2006 2007	
7D98A7CE	7DED6C2F	2000 2002	
7D98A7CE	84C26F87	2000 2002	
80484C4E	7E052CD4	2011 2014	
80484C4E	7DD7BF52	2011 2014	
7D520663	76CECADF	2011 2013	
7D520663	E08F22BF	2011 2013	
7D520663	7E81E822	2011 2013	
7E37EE12	7D93AEA6	2013 2015	
7E37EE12	7E37EE12	2013 2015	
7E37EE12	80974F61	2013 2015	
2810132A	0EB6F376	2007 2012	
2810132A	7A118BAC	2006 2007	
7F1CC0AD	7FD63079	2007 2011	
7F1CC0AD	82EFD7BD	1998 1998	
862A5EB4	7EE33888	1987 1988	
76F5E8FD	76F5E8FD	2012 2012	
76F5E8FD	77CBF2CF	2014 2015	
7E7373A3	7DA39B77	2014 2015	
7E7373A3	7EEDF20C	2014 2015	
7E7373A3	80372C2C	2014 2015	
808920EE	7C4277C1	2006 2012	
808920EE	8404D236	2006 2012	
808920EE	12F4A50E	2006 2008	2008 2008	
850C5863	7F35D021	2012 2014	
850C5863	76A3E97B	2012 2014	
7383E274	63ACCC72	2011 2014	2011 2014	
7383E274	0A4D58C2	2011 2011	2011 2011	
7383E274	0AFAB6CA	2011 2014	2011 2014	
7383E274	7E5479EF	2011 2014	2011 2014	
7383E274	1354E882	2011 2014	
281AF80E	2B5B5F6E	1999 1999	
281AF80E	75C3EDDD	1999 1999	
281AF80E	16834B29	1999 2000	
7D1C2FC7	7F85A281	2011 2011	
7D1C2FC7	8615AD85	2011 2011	
85E8B6DF	05C80196	2015 2015	
85E8B6DF	0E8BEDF9	2015 2015	
85E8B6DF	8611E813	2015 2015	
85E8B6DF	800119B0	2015 2015	
85E8B6DF	81049EEF	2015 2015	
786EA337	5C14F19D	2008 2011	
786EA337	6E0DA203	2008 2011	
7E45FF9C	8213BE2F	1999 2015	
862D32E2	7E9C15FE	2008 2010	
862D32E2	806C1448	2008 2010	
862D32E2	6F6F3BE8	2008 2014	
1222F21C	797DA44A	1986 1987	
812E5627	7C8BB441	1980 1991	
5CC912A9	7DA9E514	2001 2001	
5CC912A9	0FB0613C	2001 2001	
5CC912A9	0056D99D	2001 2001	
8184CAD7	810FD586	1983 1998	
8184CAD7	640D84E6	1983 1998	
8184CAD7	7E6B60D4	1983 1996	
01E4FE7D	76272A7C	2002 2006	
01E4FE7D	7EC3B505	2002 2005	
01E4FE7D	136A1478	2011 2013	
01E4FE7D	805ADB26	2002 2005	
7D53FA22	7DFFF554	2007 2010	
7D53FA22	75EEC1CE	2013 2013	2013 2011	2004 2010	2007 2012	
7D53FA22	85D0F4AB	2013 2011	
86165EF8	2A039A16	1982 1990	
7C7EACDA	7EB664BC	1999 2004	
7C7EACDA	76C3F589	1999 2004	
7C7EACDA	221E66BA	1999 2004	
7C7EACDA	7D28DABE	1999 2004	
7C7EACDA	790585BB	1999 2004	
7C7EACDA	760818C5	1999 2004	
7C7EACDA	7C7EACDA	1999 2006	1999 2004	1999 2007	
7CE81E80	7CE81E80	2014 2015	
7DD0FB61	2982DC12	1982 1993	
80E7CA20	745AD8D8	1987 1995	
80E7CA20	0B27A980	1987 1995	
80E7CA20	7A66274C	1987 1995	
80E7CA20	443A3AD5	1987 1995	
80E7CA20	1303D273	1987 1995	
762C572C	7DB79FC8	2012 2015	
762C572C	7FD2187C	2012 2015	
762C572C	2A3F93E7	2012 2015	
7E97B4A3	0620F39C	2002 2013	
77B91433	76D4CF02	1986 2013	
77B91433	84E02933	1986 1990	
0E401CF5	7FE65996	2004 2007	
0E401CF5	7D0E703F	2004 2007	
0E401CF5	0D28BDFE	2004 2007	
84CECB45	7A0838AF	1992 1997	
84CECB45	12F4A50E	1990 2008	1992 2008	
8048BE4A	7D9832AC	2012 2015	
7CFC4E29	75A7E292	1998 2000	
7CFC4E29	311655DC	1998 2000	
7CFC4E29	7D155F8F	1998 2002	
7CFC4E29	086B7CFD	1998 2000	
7CFC4E29	78781F39	1998 2002	1998 1999	1998 2000	1998 2000	
7CFC4E29	7FF28BCB	1998 1999	
7CFC4E29	788C04C8	1998 2000	
7CFC4E29	7D8545F6	1998 2000	
79EB15A3	4C112006	2010 2012	
7662630E	1D2A14B4	2014 2014	2014 2015	
7662630E	7662630E	2014 2014	
7662630E	71EAEEE8	2014 2015	
7C4414B3	8471C5D0	2000 2002	
7C4414B3	7D8FDF52	2000 2002	
8019D260	81301790	2007 2013	
8019D260	723B8DC4	2007 2013	
8019D260	81D31A98	2007 2013	
83B335FF	83B335FF	1998 1998	
5219067B	80A77364	2011 2014	
5219067B	840D7532	2005 2007	
71AB458D	773E78BC	2013 2014	
71AB458D	84FA888E	2013 2014	
71AB458D	04CA978F	2013 2014	
142E8205	717E3B79	2000 2000	2000 2000	
142E8205	7C672432	2000 2000	2000 2000	
0E8ADBDB	8134F55C	2006 2007	
0E8ADBDB	14A17F87	2006 2007	
7691D8BA	48C226CB	1995 2002	
7691D8BA	0055CF35	1995 2000	
7691D8BA	85B2F427	1995 2000	
7DE5C33B	7682BC83	2011 2014	2011 2015	2014 2015	2015 2014	
7DE5C33B	7E527883	2011 2015	2014 2015	
7DE5C33B	7E82BE51	2011 2014	2011 2015	2014 2015	2015 2014	2015 2015	
7DE5C33B	7B39DC3B	2011 2014	2015 2014	
7F8B1E6E	85C1B56C	1988 1992	
77E9AAAF	7E08D0EB	2005 2015	
7DAABBEA	7F56748E	2014 2014	
80B288BE	7AD55B4F	1998 2002	
8638109B	8036D8DC	1997 1998	
2D094FCE	7EF67BA3	2008 2010	2008 2010	
814C48C4	7E37EE12	2013 2015	
7864A5C4	8637B527	2005 2008	
848A376B	7D46D55E	1986 1987	
848A376B	7E9F62BF	1986 1990	
848A376B	7F0422E4	1986 1987	
848A376B	77FCA54B	1986 1990	
848A376B	0361817A	1986 1987	
7561C572	7DE370F1	1990 2007	
7561C572	7A118BAC	1990 2007	
7561C572	78E07205	1990 2007	
7561C572	7AFF8C21	1990 2007	
77C87BB1	7D7F583D	2011 2014	
77C87BB1	809672BC	2011 2014	
1C3489FC	2A3F93E7	2005 2007	2004 2007	
1C3489FC	859340AB	2005 2004	
1C3489FC	1C3489FC	2005 2004	2013 2015	2004 2005	
1C3489FC	04CE308C	2013 2015	
1C3489FC	7EF4802D	2005 2007	2004 2012	2004 2007	
1C3489FC	80EC7C37	2004 2005	
1C3489FC	7F9FD80C	2004 2012	
1C3489FC	7FD30AC2	2004 2008	
1C3489FC	80C44C8B	2005 2007	2004 2007	
1C3489FC	7F74635A	2005 2007	2004 2007	
816D3B8B	EC9CD349	2011 2015	
816D3B8B	7EF4802D	2011 2014	
816D3B8B	0A372E6D	2006 2007	
7AFC11D8	85B2F427	2007 2012	
7AFC11D8	7EB43D7E	2007 2010	
7FAD29F1	7B39DC3B	2013 2014	
7FAD29F1	84192CE9	2013 2014	
7FAD29F1	80445110	2013 2014	
7FAD29F1	83A239E3	2013 2014	
4849F640	8315FA91	1996 2004	
80239462	8317B99B	1984 1987	
80239462	7B4A0717	1984 2013	
7D459983	7D8C350F	2011 2014	
7EBD5657	7EAD8780	2012 2015	
7EBD5657	80B3C49C	2012 2013	
7EBD5657	7E24877B	2013 2014	
03729333	7DF1801F	2000 2005	
11FE5F6B	79948A99	2006 2008	
11FE5F6B	7EDB1DE0	2012 2015	
11FE5F6B	8420DFE2	2012 2015	
11FE5F6B	7D3CC8F6	2004 2008	
11FE5F6B	79C553A7	2007 2008	
7E918E8A	7E1701C0	1991 1994	
8537BA58	7D5E89FB	1988 1997	
8537BA58	7FF5B905	1988 1991	
8537BA58	81502384	1988 1991	
8537BA58	7F5057F2	1988 1997	
8537BA58	81306A4E	1988 1991	
6823B97D	78068393	2008 2013	
6823B97D	0A78292C	2008 2013	2008 2011	
86359FC0	02A6572C	1994 1996	
86359FC0	7BD02FB0	1994 1996	
86359FC0	7F680B0B	1994 1996	
7CF78009	7D1D8D74	1987 1991	
7E0AEE9D	7E0AEE9D	2011 2011	
7E0AEE9D	8637234F	2007 2012	
7E0AEE9D	7D07CC31	2007 2012	
7A0979E5	7CF054B0	1997 1999	
7A0979E5	7CCDDDC4	2006 2008	2005 2008	
7A0979E5	8530F9A6	2005 2010	
7A0979E5	7F8A8921	2005 2010	2005 2014	
7FA1FC76	80FB3887	2010 2015	
7FA1FC76	820471E1	2010 2015	
0BE341C3	7F9741CF	1986 1987	1986 1987	
0BE341C3	2AB83412	1986 1999	
812F63A6	82EEC69B	2012 2014	
812F63A6	793C843A	2012 2014	
8088B306	863D10B8	1993 1996	
8088B306	80566545	1993 1994	
7EA71F2D	17C35424	2004 2015	
7EA71F2D	1C3489FC	2004 2004	2004 2005	
7EA71F2D	859340AB	2004 2004	
8347F2F4	7DA775AE	2000 2014	
8347F2F4	8132AAE4	2000 2002	
8347F2F4	767FB405	2000 2002	
7F7CDC9E	848968D5	2011 2014	
